func_no,func_desc,vessel_code,vessel_name,maker,model
712.310.0010,ME LO purifier,HPS,Hafnia Prestige,Samgong Co Ltd,
712.310.0020,GE LO purifier,HPS,Hafnia Prestige,Samgong Co Ltd,
581.022.0010,FW UV sterilizer,HPC,Hafnia Precision,Samkun Century Co Ltd,JSB-1
702.310.0010,HFO purifier 1,HPC,Hafnia Precision,Samgong Co Ltd,SJ60HH
702.310.0020,HFO purifier 2,HPC,Hafnia Precision,Samgong Co Ltd,SJ60HH
712.310.0010,ME LO purifier 1,HPC,Hafnia Precision,Samgong Co Ltd,
712.310.0020,ME LO purifier 2,HPC,Hafnia Precision,Samgong Co Ltd,
581.022.0010,FW UV sterilizer,HEX,Hafnia Express,Samkun Century Co Ltd,"JSB-3, Ultraviolet Ray"
702.310.0010,HFO purifier 1,HEX,Hafnia Express,Samgong Co Ltd,SJ60HH
702.310.0020,HFO purifier 2,HEX,Hafnia Express,Samgong Co Ltd,SJ60HH
712.310.0010,ME LO purifier 1,HEX,Hafnia Express,Samgong Co Ltd,SJ15H
712.310.0020,ME LO purifier 2,HEX,Hafnia Express,Samgong Co Ltd,SJ15H
712.320.0010,AE LO purifier,HEX,Hafnia Express,Samgong Co Ltd,SJ15H
581.022.0010,FW UV sterilizer,HEP,Hafnia Experience,Samkun Century Co Ltd,"JSB-3, Ultraviolet Ray"
702.310.0010,HFO purifier 1,HEP,Hafnia Experience,Samgong Co Ltd,SJ60HH
702.310.0020,HFO purifier 2,HEP,Hafnia Experience,Samgong Co Ltd,SJ60HH
712.310.0010,ME LO purifier 1,HEP,Hafnia Experience,Samgong Co Ltd,SJ15H
712.310.0020,ME LO purifier 2,HEP,Hafnia Experience,Samgong Co Ltd,SJ15H
712.320.0010,AE LO purifier,HEP,Hafnia Experience,Samgong Co Ltd,SJ15H
581.022.0010,FW UV sterilizer,HET,Hafnia Expedite,Samkun Century Co Ltd,"JSB-3, Ultraviolet Ray"
702.310.0010,HFO purifier 1,HET,Hafnia Expedite,Samgong Co Ltd,SJ60HH
702.310.0020,HFO purifier 2,HET,Hafnia Expedite,Samgong Co Ltd,SJ60HH
712.310.0010,ME LO purifier 1,HET,Hafnia Expedite,Samgong Co Ltd,SJ15H
712.310.0020,ME LO purifier 2,HET,Hafnia Expedite,Samgong Co Ltd,SJ15H
712.320.0010,AE LO purifier,HET,Hafnia Expedite,Samgong Co Ltd,SJ15H
581.022.0010,FW UV sterilizer,HEC,Hafnia Excel,Samkun Century Co Ltd,"JSB-3, Ultraviolet Ray"
702.310.0010,HFO purifier 1,HEC,Hafnia Excel,Samgong Co Ltd,SJ60HH
702.310.0020,HFO purifier 2,HEC,Hafnia Excel,Samgong Co Ltd,SJ60HH
712.310.0010,ME LO purifier 1,HEC,Hafnia Excel,Samgong Co Ltd,SJ15H
712.310.0020,ME LO purifier 2,HEC,Hafnia Excel,Samgong Co Ltd,SJ15H
712.320.0010,AE LO purifier,HEC,Hafnia Excel,Samgong Co Ltd,SJ15H
581.022.0010,FW UV sterilizer,HEE,Hafnia Exceed,Samkun Century Co Ltd,"JSB-3, Ultraviolet Ray"
702.310.0010,HFO purifier 1,HEE,Hafnia Exceed,Samgong Co Ltd,SJ60HH
702.310.0020,HFO purifier 2,HEE,Hafnia Exceed,Samgong Co Ltd,SJ60HH
712.310.0010,ME LO purifier 1,HEE,Hafnia Exceed,Samgong Co Ltd,SJ15H
712.310.0020,ME LO purifier 2,HEE,Hafnia Exceed,Samgong Co Ltd,SJ15H
712.320.0010,AE LO purifier,HEE,Hafnia Exceed,Samgong Co Ltd,SJ15H
581.022.0010,FW UV sterilizer,HLG,Hafnia Languedoc,"[MKR]JOWA KOREA CO., LTD",JOWA UV2 Sterilizer
702.310.0010,HFO purifier 1,HLG,Hafnia Languedoc,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
702.310.0020,HFO purifier 2,HLG,Hafnia Languedoc,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
712.310.0010,LO purifier,HLG,Hafnia Languedoc,Mitsubishi Kakoki Kaisha Ltd,SJ25H
581.022.0010,FW UV sterilizer,HLR,Hafnia Loire,"[MKR]JOWA KOREA CO., LTD",JOWA UV2 Sterilizer
702.310.0010,HFO purifier 1,HLR,Hafnia Loire,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
702.310.0020,HFO purifier 2,HLR,Hafnia Loire,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
712.310.0010,LO purifier,HLR,Hafnia Loire,Mitsubishi Kakoki Kaisha Ltd,SJ25H
581.022.0010,FW UV sterilizer,HLV,Hafnia Larvik,"[MKR]JOWA KOREA CO., LTD",JOWA UV2 Sterilizer
702.310.0010,HFO purifier 1,HLV,Hafnia Larvik,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
702.310.0020,HFO purifier 2,HLV,Hafnia Larvik,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
712.310.0010,LO purifier,HLV,Hafnia Larvik,Mitsubishi Kakoki Kaisha Ltd,SJ25H
702.310.0010,HFO purifier 1,HLL,Hafnia Lillesand,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
702.310.0020,HFO purifier 2,HLL,Hafnia Lillesand,Mitsubishi Kakoki Kaisha Ltd,SJ60HH
712.310.0010,LO purifier,HLL,Hafnia Lillesand,Mitsubishi Kakoki Kaisha Ltd,SJ25H
581.022.0010,FW UV sterilizer,HAT,Hafnia Atlantic,[MKR]JOWA AB,
581.022.0020,FW silver ion sterilizer,HAT,Hafnia Atlantic,[MKR]JOWA AB,
702.310.0010,HFO purifier 1,HAT,Hafnia Atlantic,Alfa Laval,S 926
702.310.0020,HFO purifier 2,HAT,Hafnia Atlantic,Alfa Laval,S 926
702.320.0010,DO purifier,HAT,Hafnia Atlantic,[MKR]ALFA LAVAL,P 605
712.310.0010,ME LO purifier 1,HAT,Hafnia Atlantic,[MKR]ALFA LAVAL,P 615
712.310.0020,ME LO purifier 2,HAT,Hafnia Atlantic,[MKR]ALFA LAVAL,P 615
581.022.0010,FW UV sterilizer,HPA,Hafnia Pacific,[MKR]JOWA AB,
581.022.0020,FW silver ion sterilizer,HPA,Hafnia Pacific,[MKR]JOWA AB,
702.310.0010,HFO purifier 1,HPA,Hafnia Pacific,Alfa Laval,S 926
702.310.0020,HFO purifier 2,HPA,Hafnia Pacific,Alfa Laval,S 926
702.320.0010,DO purifier,HPA,Hafnia Pacific,[MKR]ALFA LAVAL,P 605
712.310.0010,ME LO purifier 1,HPA,Hafnia Pacific,[MKR]ALFA LAVAL,P 615
712.310.0020,ME LO purifier 2,HPA,Hafnia Pacific,[MKR]ALFA LAVAL,P 615
